Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;1;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;2;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;3;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;4;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;5;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;6;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;7;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;8;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;9;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;10;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;11;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;12;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;13;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;14;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;15;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;16;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;17;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;18;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;19;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;20;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;21;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;22;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;23;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;24;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;25;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;26;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;27;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;28;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;29;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;30;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;31;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;32;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;33;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;34;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;35;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
1;36;1;0.46;0.5820689655172414;0.11;0.22;Person;False;0;0;0;0;0;Annotator1
